id,nama,perusahaan,jenis_pestisida,no_registrasi,tgl_terbit,tgl_berakhir
1,NORTHAM 480 SC,DELTAGRO MULIA SEJATI,Herbisida,01030120269427,2026-04-20,2031-04-20
2,RIOMAX 150/150 EC,AGRO NATURAL TECHNOLOGY,Fungisida,01020120093365,2024-03-05,2029-03-05
3,Plenum 50 WG,SYNGENTA INDONESIA,Insektisida,01010120093558,2024-03-05,2029-03-05
4,FICAZ 25 SP,ROYAL AGRO INDONESIA,Insektisida,01010120237998,2024-03-04,2029-03-04
5,ALFA 30 EC,KATAYA ABADI,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120093514,2024-08-09,2029-08-09
6,TURBO UP GOLD 525 SL,BERBAK AGRO SEJATI,Herbisida,01030120124260,2022-10-04,2027-10-04
7,IGUANA 50 EC,DALZON CHEMICALS INDONESIA,Insektisida,01010120083193,2023-04-26,2028-04-26
8,ETEPHON 85 TC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Zat Pengatur Tumbuh Tanaman,042018527,2023-02-08,2028-02-08
9,NUVATA 270 SL,ENFARM CROP SCIENCE,Herbisida,01030120258974,2025-09-26,2030-09-26
10,BERSIHTOP 200 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120269339,2026-04-20,2031-04-20
11,DKNMC PLUS 750 SL,DANKEN INDONESIA,Herbisida,01030120248471,2024-11-18,2029-11-18
12,ULETE 30 EC,BERBAK AGRO SEJATI,Insektisida,01010120248337,2024-08-09,2029-08-09
13,CENTATIN 200 EC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120072727,2022-06-27,2027-06-27
14,CHERIZEB 80 WP,ARENA AGRO UTAMA,Fungisida,01020120175677,2022-12-05,2027-12-05
15,PREVENTOL BO,BLUE CUBE INDONESIA,Pestisida lain-lain,0420241350,2024-11-18,2029-11-18
16,BIFTIN 50 SC,GONGCHENG BIOTECH INDONESIA,Bahan pengawet kayu,04110120269530,2026-07-16,2031-07-16
17,Prolatex 100 PA,AGRO SEJAHTERA INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120083217,2024-03-05,2029-03-05
18,RED BELL 300 SC,SAKASAKI,Fungisida,01020120144917,2024-09-19,2029-09-19
19,ROUNDUP POWERMAX 660 SL,BAYER INDONESIA,Herbisida,01030120134713,2023-04-26,2028-04-26
20,ETRON 670 EC,ASIA GALA KIMIA,Herbisida,01030120134771,2023-08-28,2028-08-28
21,NUCLEO 20 SP,WAHANA PUNDIKARSA ABADI,Zat Pengatur Tumbuh Tanaman,01040120269611,2026-07-16,2031-07-16
22,NOVICURE-D 81 WG,UPL INDONESIA,Fungisida,01020120175916,2023-04-26,2028-04-26
23,GREYHUNTER 300/150 SC,SUNJOY AGRO INDONESIA,Fungisida,01020120238133,2024-03-05,2029-03-05
24,"2,4-D IPA 60 TC",ASIA GALA KIMIA,Herbisida,042001122,2025-07-11,2030-07-11
25,Propiconazole 95% TC.,SOLUSI TANI INDONESIA,Fungisida,0420231140,2023-04-26,2028-04-26
26,RAZOR 240 SL,CROP CARE INDONESIA,Herbisida,01030120031786,2025-09-26,2030-09-26
27,TRIBINZO 25/50 WG,TRIDA KIMIA SAKTI,Fungisida,01020120237823,2023-04-26,2028-04-26
28,EVERXONE 135 SL,INTI EVERSPRING INDONESIA,Herbisida,01030120227518,2022-12-05,2027-12-05
29,VERTIPLUS WP,PRIMA AGRO TECH,Insektisida,01010120237834,2023-04-26,2028-04-26
30,PRIMA-BUAH 250 SC,PRIMA KARYA BERJAYA,Zat Pengatur Tumbuh Tanaman,01040120258983,2025-09-26,2030-09-26
31,DRUMMER 85 WG,MULTI AGRO JAYA UTAMA,Herbisida,01030120248604,2025-02-17,2030-02-17
32,RAJA KEONG MAS 9 GR,PD. GARUDA,Moluskisida,01050120124512,2022-12-05,2027-12-05
33,BIOBAN™ 586 Antimicrobial,BLUE CUBE INDONESIA,Bakterisida,042017456,2024-03-04,2029-03-04
34,NIKOSULFURON 95 TC,MULTI AGRO JAYA UTAMA,Herbisida,0420231138,2023-04-26,2028-04-26
35,AGROFOS 480 EC,EXINDO RAHARJA PRATAMA,Insektisida,01010120124333,2022-10-04,2027-10-04
36,VUANK 120 EW,DELTA GIRI WACANA,Herbisida,01030120217226,2026-04-20,2031-04-20
37,JOTOS 490 EC,PETROSIDA GRESIK,Herbisida,01030120073050,2022-10-04,2027-10-04
38,CALIWA 75 WG,ZENITH CROPSCIENCES INDONESIA,Fungisida,01020120206820,2025-11-13,2030-11-13
39,ALAMO 350 SC,AGRICULTURE CONSTRUCTION,Insektisida,01010120083166,2023-04-26,2028-04-26
40,LARBAN 500/50 EC,TRIDA KIMIA SAKTI,Insektisida,01010120124476,2023-04-26,2028-04-26
41,TENURA 120/80 OD,KINGAGROOT BIOTECHNOLOGY INDONESIA,Herbisida,01030120269672,2026-07-16,2031-07-16
42,DIVATRIN 500 SC,MULTI SARANA INDOTANI,Herbisida,01030120093426,2023-04-26,2028-04-26
43,WINDA 250 SC,DA MING INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120206882,2025-07-11,2030-07-11
44,ARJUNA 200 EC,BELIRANG KALISARI,Insektisida,01010120083219,2023-02-08,2028-02-08
45,NUPRID 600 FS,NUFARM INDONESIA,Insektisida,01010120155384,2025-02-17,2030-02-17
46,TERMIBAN 405 EC,PETROKIMIA KAYAKU,Insektisida,01010120114004,2024-09-19,2029-09-19
47,PETROGENOL 800 L,PETROKIMIA KAYAKU,Atraktan / Feromon,01070119941169,2024-03-05,2029-03-05
48,CARBOFURAN 3 GR,AGROTECH PESTICIDE INDUSTRY,Insektisida,032025584,2025-07-11,2030-07-11
49,ZETRO 75 WG,CATUR AGRODAYA MANDIRI,Fungisida,01020120186095,2024-03-04,2029-03-04
50,GROAMIN 865 SL,TUNASHARAPAN MURNI,Herbisida,01030119981435,2026-04-20,2031-04-20
51,"WHIMAS 0,05 RB",WIRAJAYA MITRA SUKSESTAMA,Pestisida Rumah Tangga,06080120227481,2022-10-04,2027-10-04
52,PARAQUAT DICHLORIDE 42 TC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,0420231196,2023-08-28,2028-08-28
53,Tinker 200/200 SC,TANAMAN MAKMUR MANDIRI,Fungisida,01020120227364,2022-06-27,2027-06-27
54,BLUEZEB 80 WP,EXCEL MEG INDO,Fungisida,01020120175890,2023-04-26,2028-04-26
55,HOKUTO 250 SC,UPL INDONESIA,Herbisida,01030120259217,2026-01-20,2031-01-20
56,SALVATORE PLUS 12/18 WP,DELTA GIRI WACANA,Herbisida,01030120237930,2023-08-28,2028-08-28
57,ATMAGA 20 SL,Agro Bumi Timur,Zat Pengatur Tumbuh Tanaman,01040120217020,2026-07-16,2031-07-16
58,TEBUCOZ 430 SC,ALBAUGH AGRO INDONESIA,Fungisida,01020120145025,2024-09-19,2029-09-19
59,OMNI-TRON 150 SL,PRIMA KARYA BERJAYA,Herbisida,01030120227441,2022-10-04,2027-10-04
60,PROTROBIN 300/100 EW,RAINBOW AGROSCIENCES,Fungisida,01020120238049,2024-03-04,2029-03-04
61,TAMARIS 240 SL,SARI KRESNA KIMIA,Herbisida,01030120001514,2024-09-19,2029-09-19
62,GHOXONE 138 SL,FORAGRO MITRA SEJATI,Herbisida,01030120196265,2024-08-09,2029-08-09
63,KANMULUS 80 WG,SARI KRESNA KIMIA,Fungisida,01020120021869,2025-09-26,2030-09-26
64,CHLOROTHALONIL 98 TC,DELTA GIRI WACANA,Fungisida,042021978,2026-04-20,2031-04-20
65,AVIZOL 60 EC,DELTA CHEMICA,Fungisida,01020120237846,2023-08-28,2028-08-28
66,TYSON 30 WG,WINNER AGROCHEM INTERNUSA,Insektisida,01010120227718,2023-02-08,2028-02-08
67,Innosei ® PHMB,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420221118,2023-02-08,2028-02-08
68,TUNTAS KEONG 15 WP,SAFE CHEMICAL INDONESIA,Moluskisida,01050120124532,2023-04-26,2028-04-26
69,PREVENTOL WB PLUS-L,KEMINDO ARTHA JAYA,Fungisida,0420231211,2023-08-28,2028-08-28
70,FURIZEB 80 WP,DITYA CHEMINDO,Fungisida,01020120175898,2022-12-05,2027-12-05
71,Supergib 50 SL,GRAHA AGRO,Zat Pengatur Tumbuh Tanaman,01040120237939,2023-08-28,2028-08-28
72,DKLUFEM 50 WG,DANKEN INDONESIA,Insektisida,01010120165429,2022-01-14,2027-01-14
73,"2,4-D 98 TC",PRIMA KARYA BERJAYA,Herbisida,032024568,2025-02-17,2030-02-17
74,ALANDA 50 EC,ADVANSIA INDOTANI,Insektisida,01010120113940,2026-01-20,2031-01-20
75,SMATZEB 80 WP,SOLUSI MAJU AGRO TANI,Fungisida,01020120258877,2025-07-11,2030-07-11
76,AJI-BAN 40/120 SC,AGRO JAYA INDUSTRI,Insektisida,01010120248350,2024-09-19,2029-09-19
77,HALORICE PLUS 60/25 EC,RAINBOW AGROSCIENCES,Herbisida,01030120227413,2022-10-04,2027-10-04
78,FREECOR 50 SC,FMC AGRICULTURAL MANUFACTURING,Insektisida,01010120227647,2023-02-08,2028-02-08
79,INNOMAN ® BT 20,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420231158,2023-04-26,2028-04-26
80,RIDATOP 288 SL,PT.ASIANA CHEMICALINDO LESTARI,Herbisida,01030120185980,2023-04-26,2028-04-26
81,NEOFRON 60 SC,MULTI SARANA INDOTANI,Insektisida,01010120103643,2023-08-28,2028-08-28
82,CARBOSULFAN 90 TC,DELTA GIRI WACANA,Insektisida,0420231247,2024-03-05,2029-03-05
83,JAYACIDE 400 EC,AGRO JAYA INDONESIA,Insektisida,01010120186078,2023-04-26,2028-04-26
84,FILLADO 440 EC,MASCO AGRI GENETICS,Insektisida,01010120134773,2023-08-28,2028-08-28
85,S-METOLAKLOR 98 TC,AGRO JAYA INDONESIA,Herbisida,0420251465,2026-01-20,2031-01-20
86,BONIZA 100/80/40 OD,DELTA GIRI WACANA,Herbisida,01030120248364,2024-09-19,2029-09-19
87,LOSMINE 50 EC,EXCEL MEG INDO,Insektisida,01010120186052,2023-08-28,2028-08-28
88,HIT 0.05 MC,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120217137,2026-07-16,2031-07-16
89,RHOPY 25/75 OD,SUMANS MANDIRI SEJAHTERA,Herbisida,01030120217169,2026-07-16,2031-07-16
90,AMAZOL 300 EC,JIRONA AGRITAMA,Fungisida,01020120155329,2025-02-17,2030-02-17
91,MARTYL 480 SL,GLOBAL AGROTECH,Herbisida,01030120093468,2024-03-05,2029-03-05
92,SINHIT 200 SL,SINERGI CHEM INDONESIA,Herbisida,01030120259292,2026-01-20,2031-01-20
93,KARROLIE 100 EC,MAJU MAKMUR UTOMO,Insektisida,01010120072901,2023-04-26,2028-04-26
94,EXTRACEL 50 EC,BOMA SAKTI TANI,Insektisida,01010120175768,2023-02-08,2028-02-08
95,TOPSANIL 50 WP,TUNASHARAPAN MURNI,Fungisida,01020120259008,2025-09-26,2030-09-26
96,PASTION 500 EC,PERSADA AGRO SUKSES,Insektisida,01010120248414,2024-09-19,2029-09-19
97,TIEZENE 80 WP,AGROMANNA JAYA LESTARI,Fungisida,0102011977264,2022-10-04,2027-10-04
98,Innosei ® QAC,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420251470,2026-01-20,2031-01-20
99,TIBROX 100/100 ME,KINGAGROOT BIOTECHNOLOGY INDONESIA,Herbisida,01030120269486,2026-04-20,2031-04-20
100,IPA GLYPHOSATE 62 TC,DELTA GIRI WACANA,Herbisida,042012289,2026-04-20,2031-04-20
101,ARFO 30 EC,INDAGRO,Insektisida,01010120001525,2025-11-13,2030-11-13
102,KOPTAN,PT. Agritek Tani Indonesia,Atraktan / Feromon,01070120134593,2024-03-04,2029-03-04
103,LUMETIN 36/100 EC,CHINA JIANGSU INTERNATIONAL INDONESIA,Insektisida,01010120206940,2025-11-13,2030-11-13
104,CARRICK 63/5 WP,DHARMA GUNA WIBAWA,Herbisida,01030120237738,2023-04-26,2028-04-26
105,WINFOS 525 SL,FORAGRO MAJU SEJAHTERA,Herbisida,01030120134735,2023-04-26,2028-04-26
106,NITENPIRAM 95 TC,SOLO LOGO INDONESIA,Insektisida,0420241320,2024-09-19,2029-09-19
107,SODAP 480 SL,PANEN AGRO PERKASA INDONESIA,Herbisida,01030120227586,2022-12-05,2027-12-05
108,AMFAST 200 SL,BIOWORLD BIOSCIENCES MANUFACTURING INDUSTRIES,Herbisida,032024550,2024-09-19,2029-09-19
109,"KUMATETRALIL 0,75 TP",TANI MAS SUBUR,Rodentisida,0420231189,2023-08-28,2028-08-28
110,IMIDAPLUS 25 WP,SARI KRESNA KIMIA,Insektisida,01010120103843,2024-11-18,2029-11-18
111,TOLERAN 75 WG,RAINBOW AGROSCIENCES,Herbisida,01030120134727,2023-02-08,2028-02-08
112,SUTORO 30 EC,MASCO AGRI GENETICS,Insektisida,01010120248709,2025-02-17,2030-02-17
113,METACHLOR 550/100 EC,SINAR GENERAL INDUSTRIES,Insektisida,01010120145085,2025-02-17,2030-02-17
114,PROVO 70/6 WP,DALZON CHEMICALS INDONESIA,Fungisida,01020120206968,2026-01-20,2031-01-20
115,ORLANDO 50 SP,GOLDEN FARM INDONESIA,Insektisida,01010120217072,2026-04-20,2031-04-20
116,ALLY 20 WG,FMC AGRICULTURAL MANUFACTURING,Herbisida,0103011988837,2023-08-28,2028-08-28
117,ATURO 276 SL,AGRO SENTOSA RAYA,Herbisida,01030120248234,2024-08-09,2029-08-09
118,KLOPINDO 10 WP,MITRA KREASIDHARMA,Insektisida,01010120042093,2024-08-09,2029-08-09
119,CADRE 240 SL,BASF INDONESIA,Herbisida,01030119981442,2023-08-28,2028-08-28
120,CRASH 480 SL,AGRICULTURE CONSTRUCTION,Herbisida,01030120021683,2026-04-20,2031-04-20
121,BESCONIL 80 WP,TIARA BUANA MANDIRI,Fungisida,01020120124282,2022-12-05,2027-12-05
122,COBRA 15 EC,AGROMANNA JAYA LESTARI,Insektisida,01010119961264,2025-02-17,2030-02-17
123,DIMETHOMORPH 98 TC,MULTI SARANA INDOTANI,Fungisida,042015332,2024-03-05,2029-03-05
124,HIT 70.59 MV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120196349,2024-11-18,2029-11-18
125,SX-Pearl 93/281 SC,AGRO JAYA INDONESIA,Insektisida,01010120269481,2026-04-20,2031-04-20
126,CLOSTAR 600 SC,MULTI SARANA INDOTANI,Insektisida,01010120196515,2024-08-09,2029-08-09
127,NARATAN 65 WP,SAMUDRA UTAMA NARAPATI,Moluskisida,01050120196287,2024-03-05,2029-03-05
128,ZERAM 250 EC,PETROSIDA GRESIK,Herbisida,01030120072907,2022-06-27,2027-06-27
129,SAGRI-M7 100/150 EC,SATYA AGRO INDONESIA,Insektisida,01010120186150,2023-04-26,2028-04-26
130,SANDIMAS 400 SL,SANTANI AGRO PERKASA,Insektisida,01010120062367,2026-01-20,2031-01-20
131,DETOP 400 SL,ASIA GALA KIMIA,Insektisida,01010120165427,2021-10-12,2026-10-12
132,RICESHIELD 75 WP,RAINBOW AGROSCIENCES,Fungisida,01020120155387,2026-01-20,2031-01-20
133,DUET 160 SL,TANI ABADI,Herbisida,01030120093535,2024-08-09,2029-08-09
134,PROSPERO 80 WP,AGRO GUNA MAKMUR,Fungisida,01020120155324,2026-01-20,2031-01-20
135,LOGIC 70 WP,BIOTIS AGRINDO,Fungisida,01020120093349,2022-12-05,2027-12-05
136,METROZINE 50 WG,INTI EVERSPRING INDONESIA,Insektisida,01010120227557,2022-12-05,2027-12-05
137,DELTAXONE 280 SL*,FAJAR BUANA CHEMICAL,Herbisida,01030120124447,2024-03-04,2029-03-04
138,PROCLAIM 5 SG,SYNGENTA INDONESIA,Insektisida,01010120001510,2024-03-05,2029-03-05
139,CHECKPOINT 75 WP,UPL INDONESIA,Fungisida,01020120206909,2026-01-20,2031-01-20
140,SULFO-GAS 99.8 LG*,YANNO AGRO SCIENCE INDONESIA,Fumigan,05100120175801,2023-04-26,2028-04-26
141,NEMISPOR 80 WP,MITRA KREASIDHARMA,Fungisida,01020119991472,2024-03-04,2029-03-04
142,Goodknight 20.01 LT,GODREJ CONSUMER PRODUCTS INDONESIA,Repelen,06080120269382,2026-04-20,2031-04-20
143,BM TRICALON 480 EC,BEHN MEYER AGRICARE,Herbisida,01030120175892,2022-12-05,2027-12-05
144,GAYA 550 EC,MASCO AGRI GENETICS,Insektisida,01010120134681,2023-08-28,2028-08-28
145,HAWAII 45 SP,TIGA MUARA EMAS MAKMUR,Insektisida,01010120237760,2023-04-26,2028-04-26
146,BIOBAN™ BP-30 Preservative,BLUE CUBE INDONESIA,Pestisida lain-lain,042017458,2022-12-05,2027-12-05
147,HIT 3.24 LV,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120227418,2022-10-04,2027-10-04
148,ACEFLO 15/20 WG,INDOIN BUSINESS GROUP,Insektisida,01010120227607,2023-02-08,2028-02-08
149,GENIUS 20/125 OD,CV. SARANA TANI MAKMUR,Insektisida,01010120237757,2023-04-26,2028-04-26
150,CONTROL 400 SL,RAINBOW AGROSCIENCES,Insektisida,01010120134655,2023-02-08,2028-02-08
151,CBA-COL 70 WP,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Fungisida,01020120062481,2026-01-20,2031-01-20
152,MAGNAPHOS 66 TB*,UPL INDONESIA,Fumigan,05100120092098,2024-11-18,2029-11-18
153,RAMBO PEAK 550 SL,MULTI SARANA INDOTANI,Herbisida,01030120011632,2025-07-11,2030-07-11
154,RICEMASTER PLUS 50/10 OD,RAINBOW AGROSCIENCES,Herbisida,01030120227456,2022-10-04,2027-10-04
155,SUMO 50 EC,BELIRANG KALISARI,Insektisida,01010120031792,2024-03-04,2029-03-04
156,MERAH PUTIH 241 SL,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120227675,2023-02-08,2028-02-08
157,BIOXAN 50 WP,BIOTEK SARANATAMA,Fungisida,01020120124429,2023-08-28,2028-08-28
158,MACAN CBA 240/120 SL,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Herbisida,01030120259235,2026-01-20,2031-01-20
159,REGENT 50 SC,BASF INDONESIA,Insektisida,01010119951192,2025-09-26,2030-09-26
160,MANZO BIR 80 WP,INDOIN BUSINESS GROUP,Fungisida,01020120093569,2024-08-09,2029-08-09
161,DAMISAT 620 SL,DALZON CHEMICALS INDONESIA,Herbisida,01030120134624,2024-03-05,2029-03-05
162,DELINI 50 EC,UNI AGRO CHEMICA,Insektisida,01010120042066,2026-01-20,2031-01-20
163,MARCEL 50 EC,SARAREA PANEN RAYA,Insektisida,01010120227432,2022-10-04,2027-10-04
164,HIT 0.29 AE,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,032022530,2022-12-05,2027-12-05
165,FOZARO 30/150 EC,DALZON CHEMICALS INDONESIA,Insektisida,01010120196568,2024-11-18,2029-11-18
166,MEPEAK 55/5 WG,RAINBOW AGROSCIENCES,Fungisida,01020120238023,2024-03-04,2029-03-04
167,ACANTO 250 SC,CORTEVA AGRISCIENCE MANUFACTURING INDONESIA,Fungisida,032019443,2024-03-05,2029-03-05
168,LEKTOR 480 SC,RAINBOW AGROSCIENCES,Herbisida,01030120134782,2023-02-08,2028-02-08
169,MESOTRIONE 97 TC,RAINBOW AGROSCIENCES,Herbisida,042021985,2026-07-16,2031-07-16
170,FLEXCIDE 150 EC,RAINBOW AGROSCIENCES,Herbisida,01030120238125,2024-03-05,2029-03-05
171,RG 50 SC,SAPROTAN UTAMA NUSANTARA,Insektisida,01010120248542,2024-11-18,2029-11-18
172,QUILT 75/125 SE,SYNGENTA INDONESIA,Fungisida,01020120186214,2024-03-04,2029-03-04
173,TENOPA 30/30 SC,BASF INDONESIA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120124325,2026-04-20,2031-04-20
174,SABLE PLUS 120 EW,RAINBOW AGROSCIENCES,Herbisida,01030120155392,2025-09-26,2030-09-26
175,GIBGRO 10 SP,NUFARM INDONESIA,Zat Pengatur Tumbuh Tanaman,01040120042264,2025-02-17,2030-02-17
176,TRICLOPYR BUTOTYL 95 TC,INTI EVERSPRING INDONESIA,Herbisida,042018664,2024-03-04,2029-03-04
177,PILARSTOP 450 CS,PILARQUIM AGROSCIENCE INDONESIA,Herbisida,01030120269624,2026-07-16,2031-07-16
178,Octavia 18 SL,MITRA INDOTANI ABADI,Zat Pengatur Tumbuh Tanaman,01040120258844,2025-07-11,2030-07-11
179,JOLT 25 EC,KRISTALINDO KARUNIA INTERNASIONAL,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120186047,2023-04-26,2028-04-26
180,DARGO 76 WP,DELTAGRO MULIA SEJATI,Fungisida,01020120124444,2022-01-11,2027-01-11
181,ENDOTOX 276 SL,DELTA GIRI WACANA,Herbisida,01030120248253,2024-08-09,2029-08-09
182,"Baygon 0,575 AE WB",JOHNSON HOME HYGIENE PRODUCTS,Pestisida Rumah Tangga,06080120093518,2024-03-04,2029-03-04
183,PROSIMO 70/8 WP,Agro Bumi Timur,Fungisida,01020120237800,2023-04-26,2028-04-26
184,SAFLUFENACIL 95 TC,KINGAGROOT BIOTECHNOLOGY INDONESIA,Herbisida,0420251383,2025-07-11,2030-07-11
185,COWBOY 480 EC,BERBAK AGRO SEJATI,Herbisida,01030120134674,2023-08-28,2028-08-28
186,FLONIPRO 75/75 SE,AGRO SENTOSA RAYA,Insektisida,01010120248484,2024-11-18,2029-11-18
187,XIVANA 20 SC,BAYER INDONESIA,Fungisida,01020120248730,2025-02-17,2030-02-17
188,METRIZONE 500 SC,AGRO TERRUM INDONESIA,Herbisida,01030120258838,2025-07-11,2030-07-11
189,DORUM 350 SC,DELTAGRO MULIA SEJATI,Fungisida,01020120134621,2022-10-04,2027-10-04
190,RIKA 25 EC,BENIH BERKAH BERSERI,Insektisida,01010120258863,2025-07-11,2030-07-11
191,ZIPHOS 80 P*,SINAR GENERAL INDUSTRIES,Rodentisida,01120120186097,2023-04-26,2028-04-26
192,Farintop 50 EC,FADJARPURNAMA PRATAMA INTI,Insektisida,01010120062514,2022-12-05,2027-12-05
193,STARTHENE 75 WG,UPL INDONESIA,Insektisida,01010120072983,2023-02-08,2028-02-08
194,DAIMEX 80 WP,DELTA GIRI WACANA,Herbisida,01030120062508,2024-09-19,2029-09-19
195,MILANO 375/75 SC,SARI KRESNA KIMIA,Fungisida,01020120248663,2025-02-17,2030-02-17
196,AZOKSISTROBIN 98 TC,SOLO LOGO INDONESIA,Fungisida,0420241268,2024-08-09,2029-08-09
197,CONTACNIL 75 WP,TUNASHARAPAN MURNI,Fungisida,01020120103761,2025-09-26,2030-09-26
198,UNIHIT 100/20 SC,SINERGI CHEM INDONESIA,Insektisida,01010120207002,2025-09-26,2030-09-26
199,BESTFAST 250 EC,TIARA BUANA MANDIRI,Insektisida,01010120124424,2023-04-26,2028-04-26
200,GLIFOSAT 95 TC,MULTI AGRO JAYA UTAMA,Herbisida,042021950,2021-10-12,2026-10-12
201,SKIN VAPE 200 AL,FUMAKILLA INDONESIA,Repelen,06080120196303,2024-03-05,2029-03-05
202,LAMBDA-CYHALOTHRIN 95 TC,RAINBOW AGROSCIENCES,Insektisida,042019743,2024-09-19,2029-09-19
203,"FERTERRA 0,4 GR",BINA GUNA KIMIA,Insektisida,01010120103626,2024-08-09,2029-08-09
204,KENSELEC 500 EC,KENSO INDONESIA,Insektisida,01010120083136,2023-04-26,2028-04-26
205,ONESTEP 100 SC,ZHENGBANG CROP PROTECTION INDONESIA,Insektisida,01010120238176,2024-03-05,2029-03-05
206,AKKAIDO 20/100 EC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120227379,2022-10-04,2027-10-04
207,K-VOLTAZ 180/120 SC,HANEARL SCIENCE INDONESIA,Insektisida,01010120237781,2023-04-26,2028-04-26
208,PUTIK 250 SC,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Zat Pengatur Tumbuh Tanaman,01040120217264,2026-04-20,2031-04-20
209,MARKOTOP 300 SL*,SANTANI AGRO PERKASA,Herbisida,01030120134788,2023-04-26,2028-04-26
210,MAGNAPHOS 56 PB*,UPL INDONESIA,Fumigan,05100120155162,2025-02-17,2030-02-17
211,HORPER 1.5 SL,TANI MAS SUBUR,Zat Pengatur Tumbuh Tanaman,01040120248283,2024-08-09,2029-08-09
212,VANCOUVER 500/50 SC,SANBRAND AGRO SEJAHTERA,Herbisida,01030120206702,2025-02-17,2030-02-17
213,CENTASIL 20 WP,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Fungisida,01020120217124,2025-09-26,2030-09-26
214,OMNITOP 276 SL,PRIMA KARYA BERJAYA,Herbisida,01030120217070,2026-01-20,2031-01-20
215,PREVENTOL P 91,BLUE CUBE INDONESIA,Pestisida lain-lain,0420251445,2025-11-13,2030-11-13
216,ZAPARIS 240 SL,ANDALL HASA PRIMA,Herbisida,01030120021724,2023-04-26,2028-04-26
217,ACTICIDE AGT2,JAYA WARINDO ABADI,Fungisida,0420231148,2023-04-26,2028-04-26
218,Innosei ® PHE,TRITUNGGAL ARTHAMAKMUR,Bakterisida,0420221115,2023-02-08,2028-02-08
219,Glufa 200 SL,MULTI AGRO JAYA UTAMA,Herbisida,01030120238002,2024-03-04,2029-03-04
220,BRANTACOL 70 WP,SINAR GENERAL INDUSTRIES,Fungisida,01020120114034,2026-07-16,2031-07-16
221,RAINLUCIDE 70 WP,RAINBOW AGROSCIENCES,Moluskisida,01050120155386,2025-09-26,2030-09-26
222,Densil AF1,ARXADA CHEMICALS INDONESIA,Pestisida lain-lain,0420261501,2026-07-16,2031-07-16
223,POSTON 250 SC,SAPROTAN UTAMA,Zat Pengatur Tumbuh Tanaman,01040120155381,2025-02-17,2030-02-17
224,TANICIS 25 EC,TANI MAS SUBUR,Insektisida,01010119951178,2023-04-26,2028-04-26
225,NOMOS 0.081MC,FUMAKILLA NOMOS,Pestisida Rumah Tangga,06080120206649,2025-09-26,2030-09-26
226,RAMACOL 140 SL*,BERBAK AGRO SEJATI,Herbisida,01030120258986,2025-09-26,2030-09-26
227,GRACIA 103 EC,NUFARM INDONESIA,Insektisida,01010120217053,2025-07-11,2030-07-11
228,NOMOS 0.2MC,FUMAKILLA NOMOS,Pestisida Rumah Tangga,06080120227337,2022-06-27,2027-06-27
229,FURATUR 3 GR,CATUR AGRODAYA MANDIRI,Insektisida,01010120083117,2023-04-26,2028-04-26
230,STUNTMAN 500 SL,RIA INDO AGRI,Insektisida,01010120093501,2024-03-05,2029-03-05
231,KERING 300 SL*,BERSAMA SATU TEGUH,Herbisida,01030120196363,2024-03-05,2029-03-05
232,TOPREL 10 PA,SARI KRESNA KIMIA,Zat Pengatur Tumbuh Tanaman,01040120083078,2026-07-16,2031-07-16
233,LAMDA SIHALOTRIN 95 TC,AGRO JAYA INDONESIA,Insektisida,0420231136,2023-04-26,2028-04-26
234,TEMBO-WEEDER 420 SC,MULTI AGRO JAYA UTAMA,Herbisida,01030120248432,2024-09-19,2029-09-19
235,"TAWON 0,3 MC",MENARA LAUT BERSATU,Pestisida Rumah Tangga,06080120186087,2024-03-04,2029-03-04
236,VICENZA 530/100 SC,SANTANI AGRO MANDIRI,Herbisida,01030120196484,2024-08-09,2029-08-09
237,TOPKUATX 250 SL*,FLORA FAUNA MANGGALA,Herbisida,01030120269678,2026-07-16,2031-07-16
238,NEVURA 265/35 OD,DELTA GIRI WACANA,Herbisida,01030120237910,2023-08-28,2028-08-28
