id,nama,perusahaan,jenis_pestisida,no_registrasi,tgl_terbit,tgl_berakhir
3303,ROVRAL 50 WP,BINA GUNA KIMIA,Fungisida,0102011982614,2025-11-13,2030-11-13
3304,BIOLARIS 500/50 SC,JIRONA AGRITAMA,Herbisida,01030120134848,2025-02-17,2030-02-17
3305,PILARVICTOR 80/80 ZC,PILARQUIM AGROSCIENCE INDONESIA,Insektisida,01010120258980,2025-09-26,2030-09-26
3306,OXYNATOR 240 EC,MASCO AGRI GENETICS,Herbisida,01030120248310,2024-08-09,2029-08-09
3307,GLYPHOSATE IPA 62 TA,NUFARM INDONESIA,Herbisida,042021917,2025-02-17,2030-02-17
3308,KOBAE GOKITORE HG12,OSIMO INDONESIA,Pestisida Rumah Tangga,032024576,2025-02-17,2030-02-17
3309,ABAMECTIN 95 TC,SURYA AGROKEMINDO PERKASA,Insektisida,042018639,2024-03-05,2029-03-05
3310,EMCINDO 500 EC,INTI EVERSPRING INDONESIA,Insektisida,01010119961267,2022-12-05,2027-12-05
3311,K-METCARB 20/5 WP,HANEARL SCIENCE INDONESIA,Insektisida,01010120258958,2025-09-26,2030-09-26
3312,VALINO 865 SL,INTI EVERSPRING INDONESIA,Herbisida,01030120093597,2024-08-09,2029-08-09
3313,ADIOS 100/20 SC,GRAHA AGRITECH PRIMA,Insektisida,01010120227275,2022-06-27,2027-06-27
3314,BRAMA 50 WP,DELTA GIRI WACANA,Fungisida,01020120238109,2024-03-05,2029-03-05
3315,GLUFO 150 SL,BIOTIS AGRINDO,Herbisida,01030120052266,2024-11-18,2029-11-18
3316,TRIDASAN 600 EC,TRIDA KIMIA SAKTI,Insektisida,01010120124531,2023-02-08,2028-02-08
3317,BAYLUSCIDE 250 EC,BAYER INDONESIA,Moluskisida,032013333,2023-04-26,2028-04-26
3318,PHANTOM 64/8 WP,AGRO SEJAHTERA INDONESIA,Fungisida,01020120134787,2024-03-04,2029-03-04
3319,FANATOP 288 SL,PETROKIMIA KAYAKU,Herbisida,01030120124454,2022-06-27,2027-06-27
3320,VIRDI 500 EC,SURYA AGROKEMINDO PERKASA,Insektisida,01010120062370,2026-04-20,2031-04-20
3321,FULLERTON 40 SP,SANTANI AGRO MANDIRI,Insektisida,01010120196435,2024-03-05,2029-03-05
3322,PARAQUAT DICHLORIDE 42 TC,KENSO INDONESIA,Herbisida,0420251421,2025-11-13,2030-11-13
3323,MONCEL 100 EC,REJEKI INDO AGROTEC,Herbisida,01030120269424,2026-04-20,2031-04-20
3324,MODARNO 138 SL,TIGA MUARA EMAS MAKMUR,Herbisida,01030120248519,2024-11-18,2029-11-18
3325,ABATE HOME 1 GR,BASF INDONESIA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120227377,2022-10-04,2027-10-04
3326,PARAQUAT DICHLORIDE 42 TC,MULTI SARANA INDOTANI,Herbisida,0420221030,2022-06-27,2027-06-27
3327,ABATEN 18 EC,TRIDA KIMIA SAKTI,Insektisida,01010120175666,2024-08-09,2029-08-09
3328,FURINDO 3 GR,MITRA KREASIDHARMA,Insektisida,01010120206923,2025-11-13,2030-11-13
3329,VAPE 0.445 AE,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120269498,2026-04-20,2031-04-20
3330,Zinc Omadine Antimicrobial,IMCD INDONESIA,Bakterisida,0420221091,2022-12-05,2027-12-05
3331,VAPE 8.9 LV,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,032010247,2026-01-20,2031-01-20
3332,Abamectin 95 TC,TIENYEN INTERNATIONAL,Insektisida,042021974,2021-11-18,2026-11-18
3333,ThriDuo 40/20 WG,KHARISMA AGRI WIJAYA,Insektisida,01010120269675,2026-07-16,2031-07-16
3334,FLAVA 10 WP,AGRO GUNA MAKMUR,Herbisida,01030120062409,2026-07-16,2031-07-16
3335,GRAMATOP 276 SL,WINNER AGROCHEM INTERNUSA,Herbisida,01030120145066,2025-02-17,2030-02-17
3336,RANGGATOX 50 EC,NUGROHO PRATAMA CHEMICA ASIA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,08090120103681,2025-09-26,2030-09-26
3337,NARASI 80 WP,BAHTERA BONIAGA LESTARI,Fungisida,01020120269425,2026-04-20,2031-04-20
3338,OXAMYL 10 GR,INTI EVERSPRING INDONESIA,Insektisida,032017417,2023-04-26,2028-04-26
3339,ASSET 190 SL,PUTRISARI KIMIANUSA,Herbisida,01030119981401,2024-09-19,2029-09-19
3340,WORTHIDE XTRA 30/30 WG,RAINBOW AGROSCIENCES,Insektisida,01030120227721,2023-02-08,2028-02-08
3341,DIMECO 400 SL,QILU CROP SCIENCE,Insektisida,01010120258761,2025-07-11,2030-07-11
3342,BANKILL 600/60 EC,SANTANI AGRO PERKASA,Insektisida,01010120186101,2023-08-28,2028-08-28
3343,VAPE 20 VP,FUMAKILLA INDONESIA,Pestisida Pengendalian Vektor Penyakit Pada Manusia,06090120207006,2026-01-20,2031-01-20
3344,BALVIER 330 EC,BOMA SAKTI TANI,Insektisida,01010120206600,2025-09-26,2030-09-26
3345,PROLARIS 250 SL,WINNER AGROCHEM INTERNUSA,Herbisida,01030120248535,2024-11-18,2029-11-18
3346,BLUETAN 60 WP,TIARA BUANA MANDIRI,Moluskisida,01050120175736,2022-01-14,2027-01-14
3347,SIDAMETHRIN 50 EC,PETROSIDA GRESIK,Insektisida,01010120011636,2025-09-26,2030-09-26
3348,AKURATA 200 EC,SARI KRESNA KIMIA,Insektisida,01010120031802,2025-11-13,2030-11-13
3349,SOFFELL SNOW MOUNTAIN 15 LT,HERLINA INDAH,Repelen,06080120206689,2025-11-13,2030-11-13
3350,GOODKILL 666 EC,SINAMYANG INDONESIA,Herbisida,01030120145064,2024-11-18,2029-11-18
3351,FOX 500 EC,NUFARM INDONESIA,Herbisida,01030120134679,2026-07-16,2031-07-16
3352,AGENT 50 SC,NUFARM INDONESIA,Insektisida,01010120093513,2023-04-26,2028-04-26
3353,TAVIO 500/10 FS,BASF INDONESIA,Fungisida,01020120259004,2025-09-26,2030-09-26
3354,REZIM 90 WG,RAINBOW AGROSCIENCES,Herbisida,01030120134710,2023-02-08,2028-02-08
3355,HIT EXPERT 0.06 FU,GODREJ CONSUMER PRODUCTS INDONESIA,Pestisida Rumah Tangga,06080120227530,2022-12-05,2027-12-05
3356,INTERGOLD 0.75/30 WG,INTER AGRO INDONESIA,Herbisida,01030120269579,2026-07-16,2031-07-16
3357,VAPE MAGIC 1.8 FU,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120165471,2026-07-16,2031-07-16
3358,ALUFOS 56 TB,YANNO AGRO SCIENCE INDONESIA,Fumigan,05100120175728,2024-03-05,2029-03-05
3359,PRIMATHANE 80 WP,AGROTECH PESTICIDE INDUSTRY,Fungisida,01020120113937,2025-09-26,2030-09-26
3360,Bio - Tribo P,AROMA,Fungisida,01020120237853,2023-08-28,2028-08-28
3361,BLOSAT 480 SL,YANNO AGRO SCIENCE INDONESIA,Herbisida,032024543,2024-08-09,2029-08-09
3362,KRESBAK 400 SC,SARI KRESNA KIMIA,Herbisida,01030120206677,2024-09-19,2029-09-19
3363,BOM-UP 520 SL,SAPROTAN UTAMA NUSANTARA,Herbisida,01030120072722,2026-01-20,2031-01-20
3364,BOM-UP 520 SL,SAPROTAN UTAMA NUSANTARA,Herbisida,01030120072722,2026-01-20,2031-01-20
3365,TRIDAZOL 150/150 EC,TRIDA KIMIA SAKTI,Fungisida,01020120124398,2022-06-27,2027-06-27
3366,Triclopyr Butoxy Ethyl Ester TC 95%,ARTHA MAKMUR ABADI,Herbisida,0420241343,2024-11-18,2029-11-18
3367,VAPE SPIRAL 0.1 MC,FUMAKILLA INDONESIA,Pestisida Rumah Tangga,06080120258891,2025-07-11,2030-07-11
3368,INDOCOZEB 80 WP,SARANA TANI INDONESIA MAKMUR,Fungisida,01020120145071,2024-08-09,2029-08-09
3369,THIODICARB 95 TC,INTI EVERSPRING INDONESIA,Insektisida,042016374,2026-01-20,2031-01-20
3370,BESTKING 60/20 WG,TIARA BUANA MANDIRI,Insektisida,01010120248582,2025-02-17,2030-02-17
3371,JOCKER 30 EC,MUTIARA AGRO SEJATI,Insektisida,01010120248290,2024-08-09,2029-08-09
3372,CORIDOR 250 EC,AGRO CHEMICA,Fungisida,01020120185946,2023-04-26,2028-04-26
3373,PRIMADAN 3 GR,CENTA BRASINDO ABADI CHEMICAL INDUSTRY,Insektisida,01010120196464,2024-09-19,2029-09-19
