key,value
sumber,ap-simpel.pertanian.go.id (Kementerian Pertanian RI) - daftar pestisida terdaftar
tanggal_tarik_data,2026-09-13
jumlah_produk,7724
catatan_update,Sumber tidak memiliki field 'last updated' global; versi/snapshot dilacak manual via tanggal_tarik_data ini. Refresh tahunan = tarik ulang & timpa tanggal ini.
